Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,mSMD110-16V,Fuse_1812_4532Metric,87.325172,-86.024728,90.0,top
FB1,CBW201209U121T,L_0805_2012Metric,90.968749,-87.358874,90.0,top
FB2,CBW201209U121T,L_0805_2012Metric,100.079999,-94.881999,0.0,top
J1,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)_mounting-reliefs,81.129999,-167.681999,-90.0,top
J2,TYPE-C-31-M12,TYPE-C-31-M-12,87.313249,-75.47,0.0,bottom
J3,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN)_mounting-reliefs,87.312499,-102.544499,180.0,top
LED1,LED,LED_THT_2.54mm,99.218749,-88.574499,0.0,top
LED2,LED,LED_THT_2.54mm,75.406249,-88.574499,0.0,top
LED3,LED,LED_THT_2.54mm,37.306249,-88.574499,0.0,top
LED4,LED,LED_THT_2.54mm,365.918749,-88.574499,0.0,top
LED5,LED,LED_THT_2.54mm,342.106249,-88.574499,0.0,top
LED6,LED,LED_THT_2.54mm,327.818749,-88.574499,0.0,top
LED7,LED,LED_THT_2.54mm,323.056249,-88.574499,180.0,top
LED8,LED,LED_THT_2.54mm,308.768749,-88.574499,0.0,top
LED9,LED,LED_THT_2.54mm,304.006249,-88.574499,180.0,top
LED10,LED,LED_THT_2.54mm,289.718749,-88.574499,0.0,top
LED11,LED,LED_THT_2.54mm,284.956249,-88.574499,180.0,top
LED12,LED,LED_THT_2.54mm,261.143749,-88.574499,0.0,top
LED13,LED,LED_THT_2.54mm,270.668749,-88.574499,0.0,top
LED14,LED,LED_THT_2.54mm,242.093749,-88.574499,0.0,top
LED15,LED,LED_THT_2.54mm,223.043749,-88.574499,0.0,top
LED16,LED,LED_THT_2.54mm,203.993749,-88.574499,0.0,top
LED17,LED,LED_THT_2.54mm,184.943749,-88.574499,180.0,top
LED18,LED,LED_THT_2.54mm,181.371874,-88.574499,0.0,top
LED19,LED,LED_THT_2.54mm,162.321874,-88.574499,0.0,top
LED20,LED,LED_THT_2.54mm,156.368749,-88.574499,0.0,top
LED21,LED,LED_THT_2.54mm,143.271874,-88.574499,0.0,top
LED22,LED,LED_THT_2.54mm,137.318749,-88.574499,0.0,top
LED23,LED,LED_THT_2.54mm,124.221874,-88.574499,0.0,top
LED24,LED,LED_THT_2.54mm,118.268749,-88.574499,0.0,top
LED25,LED,LED_THT_2.54mm,56.356249,-88.574499,0.0,top
LED26,LED,LED_THT_2.54mm,75.406249,-112.386999,0.0,top
LED27,LED,LED_THT_2.54mm,56.356249,-112.386999,0.0,top
LED28,LED,LED_THT_2.54mm,37.306249,-112.386999,0.0,top
LED29,LED,LED_THT_2.54mm,365.918749,-112.386999,0.0,top
LED30,LED,LED_THT_2.54mm,346.868749,-112.386999,0.0,top
LED31,LED,LED_THT_2.54mm,327.818749,-112.386999,0.0,top
LED32,LED,LED_THT_2.54mm,308.768749,-112.386999,0.0,top
LED33,LED,LED_THT_2.54mm,289.718749,-112.386999,0.0,top
LED34,LED,LED_THT_2.54mm,270.668749,-112.386999,0.0,top
LED35,LED,LED_THT_2.54mm,251.618749,-112.386999,0.0,top
LED36,LED,LED_THT_2.54mm,232.568749,-112.386999,0.0,top
LED37,LED,LED_THT_2.54mm,213.518749,-112.386999,0.0,top
LED38,LED,LED_THT_2.54mm,194.468749,-112.386999,0.0,top
LED39,LED,LED_THT_2.54mm,175.418749,-112.386999,0.0,top
LED40,LED,LED_THT_2.54mm,156.368749,-112.386999,0.0,top
LED41,LED,LED_THT_2.54mm,137.318749,-112.386999,0.0,top
LED42,LED,LED_THT_2.54mm,118.268749,-112.386999,0.0,top
LED43,LED,LED_THT_2.54mm,108.743749,-112.386999,0.0,top
LED44,LED,LED_THT_2.54mm,99.218749,-112.386999,0.0,top
LED45,LED,LED_THT_2.54mm,103.981249,-131.436999,0.0,top
LED46,LED,LED_THT_2.54mm,75.406249,-131.436999,0.0,top
LED47,LED,LED_THT_2.54mm,56.356249,-131.436999,0.0,top
LED48,LED,LED_THT_2.54mm,37.306249,-131.436999,0.0,top
LED49,LED,LED_THT_2.54mm,361.156249,-131.436999,0.0,top
LED50,LED,LED_THT_2.54mm,337.343749,-131.436999,0.0,top
LED51,LED,LED_THT_2.54mm,318.293749,-131.436999,0.0,top
LED52,LED,LED_THT_2.54mm,299.243749,-131.436999,0.0,top
LED53,LED,LED_THT_2.54mm,280.193749,-131.436999,0.0,top
LED54,LED,LED_THT_2.54mm,261.143749,-131.436999,0.0,top
LED55,LED,LED_THT_2.54mm,242.093749,-131.436999,0.0,top
LED56,LED,LED_THT_2.54mm,223.043749,-131.436999,0.0,top
LED57,LED,LED_THT_2.54mm,203.993749,-131.436999,0.0,top
LED58,LED,LED_THT_2.54mm,184.943749,-131.436999,0.0,top
LED59,LED,LED_THT_2.54mm,165.893749,-131.436999,0.0,top
LED60,LED,LED_THT_2.54mm,146.843749,-131.436999,0.0,top
LED61,LED,LED_THT_2.54mm,127.793749,-131.436999,0.0,top
LED62,LED,LED_THT_2.54mm,106.679999,-135.881999,90.0,top
LED63,LED,LED_THT_2.54mm,275.431249,-150.486999,0.0,top
LED64,LED,LED_THT_2.54mm,199.231249,-150.486999,0.0,top
LED65,LED,LED_THT_2.54mm,180.181249,-150.486999,0.0,top
LED66,LED,LED_THT_2.54mm,161.131249,-150.486999,0.0,top
LED67,LED,LED_THT_2.54mm,111.124999,-150.486999,0.0,top
LED68,LED,LED_THT_2.54mm,358.774999,-150.486999,180.0,top
LED69,LED,LED_THT_2.54mm,363.537499,-150.486999,0.0,top
LED70,LED,LED_THT_2.54mm,332.581249,-150.486999,0.0,top
LED71,LED,LED_THT_2.54mm,313.531249,-150.486999,0.0,top
LED72,LED,LED_THT_2.54mm,294.481249,-150.486999,0.0,top
LED73,LED,LED_THT_2.54mm,256.381249,-150.486999,0.0,top
LED74,LED,LED_THT_2.54mm,237.331249,-150.486999,0.0,top
LED75,LED,LED_THT_2.54mm,218.281249,-150.486999,0.0,top
LED76,LED,LED_THT_2.54mm,142.081249,-150.486999,0.0,top
LED77,LED,LED_THT_2.54mm,123.031249,-150.486999,0.0,top
LED78,LED,LED_THT_2.54mm,363.537499,-169.536999,0.0,top
